station id,latitude,longitude,station name,incoming trips,outgoing trips,all trips,kind,bikes outbound,outbound trips,bikes inbound,inbound trips,delta bikes,delta trips
3159,40.77492513,-73.98266566,W 67 St & Broadway,157,133,290,active,25,239,15,148,-10,-91
3160,40.77896784,-73.97374737,Central Park West & W 76 St,95,77,172,active,25,194,11,103,-14,-91
3161,40.7801839724239,-73.97728532552719,W 76 St & Columbus Ave,85,97,182,active,27,299,12,135,-15,-164
3162,40.78339981,-73.98093133,W 78 St & Broadway,79,85,164,active,32,358,6,51,-26,-307
3163,40.7734066,-73.97782542,Central Park West & W 68 St,158,122,280,active,37,300,10,140,-27,-160
3164,40.7770575,-73.97898475,Columbus Ave & W 72 St,188,140,328,active,60,607,9,117,-51,-490
3165,40.77579376683666,-73.97620573639871,Central Park West & W 72 St,170,130,300,active,48,435,18,159,-30,-276
3166,40.78057799010335,-73.98562431335448,Riverside Dr & W 72 St,81,83,164,active,37,393,8,84,-29,-309
3167,40.779668090073116,-73.98093044757842,Amsterdam Ave & W 73 St,138,137,275,active,26,222,13,162,-13,-60
3168,40.78472675,-73.96961715,Central Park West & W 85 St,189,192,381,active,28,259,16,178,-12,-81
3169,40.78720869,-73.98128127,Riverside Dr & W 82 St,0,0,0,inactive,0,0,0,0,0,0
3170,40.78499979,-73.97283406,W 84 St & Columbus Ave,139,141,280,active,34,365,13,99,-21,-266
3171,40.78524672,-73.97667321,Amsterdam Ave & W 82 St,105,110,215,active,34,334,6,47,-28,-287
3172,40.7785669,-73.97754961,W 74 St & Columbus Ave,92,84,176,active,17,145,9,100,-8,-45
3173,40.777507027547976,-73.98888587951659,Riverside Blvd & W 67 St,127,136,263,active,53,527,8,96,-45,-431
3175,40.77748046,-73.98288594,W 70 St & Amsterdam Ave,113,114,227,active,19,184,18,260,-1,76
3176,40.77452835,-73.98753759,W 64 St & West End Ave,92,84,176,active,22,215,12,141,-10,-74
3177,40.7867947,-73.977112,W 84 St & Broadway,164,164,328,active,62,624,17,200,-45,-424
3178,40.78414472,-73.98362492,Riverside Dr & W 78 St,91,101,192,active,49,495,5,25,-44,-470
3179,40.698617,-73.941342,Park Ave & Marcus Garvey Blvd,16,11,27,active,10,30,9,30,-1,0
3180,40.69878,-73.99712,Brooklyn Bridge Park - Pier 2,26,37,63,active,6,13,8,36,2,23
3182,40.686931,-74.016966,Yankee Ferry Terminal,1,1,2,active,1,1,1,1,0,0
