station id,latitude,longitude,station name,incoming trips,outgoing trips,all trips,kind
461,40.73587678,-73.98205027,E 20 St & 2 Ave,208,199,407,active
462,40.74691959,-74.00451887,W 22 St & 10 Ave,254,266,520,active
465,40.75513557,-73.98658032,Broadway & W 41 St,199,202,401,active
466,40.74395411,-73.99144871,W 25 St & 6 Ave,246,245,491,active
467,40.68312489,-73.97895137,Dean St & 4 Ave,71,77,148,active
468,40.7652654,-73.98192338,Broadway & W 55 St,217,219,436,active
469,40.76344058,-73.98268129,Broadway & W 53 St,146,148,294,active
470,40.74345335,-74.00004031,W 20 St & 8 Ave,179,174,353,active
471,40.71286844,-73.95698119,Grand St & Havemeyer St,56,68,124,active
472,40.74571210000001,-73.98194829,E 32 St & Park Ave,299,301,600,active
473,40.72110063,-73.99192540000001,Rivington St & Chrystie St,128,135,263,active
